"","Year","Vessel.Type"
"228",2013,"BULK CARRIER"
"229",2013,"Other"
"230",2013,"BULK CARRIER"
"231",2013,"TANKER"
"232",2013,"TANKER"
"233",2013,"BULK CARRIER"
"234",2013,"TANKER"
"235",2013,"TANKER"
"236",2013,"CONTAINER SHIP"
"237",2013,"CARGO"
"238",2013,"TANKER"
"239",2013,"CARGO"
"240",2013,"BULK CARRIER"
"241",2013,"TANKER"
"242",2013,"TANKER"
"243",2013,"CARGO"
"244",2013,"TANKER"
"245",2013,"TANKER"
"246",2013,"MERCHANT"
"247",2013,"Other"
"248",2013,"Other"
"249",2013,"BARGE"
"250",2013,"TANKER"
"251",2013,"BULK CARRIER"
"252",2013,"Other"
"253",2013,"BULK CARRIER"
"254",2013,"FISHING"
"255",2013,"SS/USS"
"256",2013,"MERCHANT"
"257",2013,"TANKER"
"258",2013,"FISHING"
"259",2013,"FISHING"
"260",2013,"BULK CARRIER"
"261",2013,"MERCHANT"
"262",2013,"FISHING"
"263",2013,"CONTAINER SHIP"
"264",2013,"TANKER"
"265",2013,"TANKER"
"266",2013,"TANKER"
"267",2013,"CONTAINER SHIP"
"268",2013,"CARGO"
"269",2013,"BULK CARRIER"
"270",2013,"FISHING"
"271",2013,"TANKER"
"272",2013,"FISHING"
"273",2013,"FISHING"
"274",2013,"MERCHANT"
"275",2013,"TANKER"
"276",2013,"MERCHANT"
"277",2013,"BULK CARRIER"
"278",2013,"CARGO"
"279",2013,"TANKER"
"280",2013,"SS/USS"
"281",2013,"CONTAINER SHIP"
"282",2013,"BULK CARRIER"
"283",2013,"TANKER"
"284",2013,"TANKER"
"285",2013,"TANKER"
"286",2013,"MERCHANT"
"287",2013,"TANKER"
"288",2013,"TANKER"
"289",2013,"Other"
"290",2013,"TANKER"
"291",2013,"BULK CARRIER"
"292",2013,"Other"
"293",2013,"Other"
"294",2013,"TANKER"
"295",2013,"Other"
"296",2013,"TANKER"
"297",2013,"Other"
"298",2013,"MERCHANT"
"299",2013,"Other"
"300",2013,"BULK CARRIER"
"301",2013,"TANKER"
"302",2013,"TANKER"
"303",2013,"TANKER"
"304",2013,"TANKER"
"305",2013,"BULK CARRIER"
"306",2013,"MERCHANT"
"307",2013,"CONTAINER SHIP"
"308",2013,"TANKER"
"309",2013,"TANKER"
"310",2013,"TANKER"
"311",2013,"TANKER"
"312",2013,"CONTAINER SHIP"
"313",2013,"TANKER"
"314",2013,"TANKER"
"315",2013,"Other"
"316",2013,"CONTAINER SHIP"
"317",2013,"TANKER"
"318",2013,"Other"
"319",2013,"Other"
"320",2013,"CONTAINER SHIP"
"321",2013,"TANKER"
"322",2013,"Other"
"323",2013,"Other"
"324",2013,"TANKER"
"325",2013,"BULK CARRIER"
"326",2013,"CARGO"
"327",2013,"TANKER"
"328",2013,"TANKER"
"329",2013,"MERCHANT"
"330",2013,"TANKER"
"331",2013,"Other"
"332",2013,"MERCHANT"
"333",2013,"Other"
"334",2013,"TANKER"
"335",2013,"TANKER"
"336",2013,"TANKER"
"337",2013,"CONTAINER SHIP"
"338",2013,"BULK CARRIER"
"339",2013,"Other"
"340",2013,"TANKER"
"341",2013,"BULK CARRIER"
"342",2013,"MERCHANT"
"343",2013,"BULK CARRIER"
"344",2013,"BARGE"
"345",2013,"BULK CARRIER"
"346",2013,"CONTAINER SHIP"
"347",2013,"BULK CARRIER"
"348",2013,"BULK CARRIER"
"349",2013,"SS/USS"
"350",2013,"BARGE"
"351",2013,"TANKER"
"352",2013,"CONTAINER SHIP"
"353",2013,"BULK CARRIER"
"354",2013,"TANKER"
"355",2013,"TANKER"
"356",2013,"TRAWLER"
"357",2013,"TRAWLER"
"358",2013,"TANKER"
"359",2013,"Other"
"360",2013,"TANKER"
"361",2013,"TANKER"
"362",2013,"CONTAINER SHIP"
"363",2013,"BULK CARRIER"
"364",2013,"TANKER"
"365",2013,"TANKER"
"366",2013,"TANKER"
"367",2013,"TANKER"
"368",2013,"TANKER"
"369",2013,"TANKER"
"370",2013,"TANKER"
"371",2013,"TANKER"
"372",1997,"SS/USS"
"373",2000,"MERCHANT"
"374",2007,"SS/USS"
"375",2012,"YACHT"
"376",2005,"YACHT"
"377",2002,"FISHING"
"378",2002,"MERCHANT"
"379",2001,"YACHT"
"380",2000,"FISHING"
"381",2000,"FISHING"
"382",1996,"YACHT"
"383",1996,"YACHT"
"384",1995,"Other"
"385",2013,"Other"
"386",2013,"TANKER"
"387",2013,"CARGO"
"388",2013,"BULK CARRIER"
"389",2013,"CONTAINER SHIP"
"390",2013,"CARGO"
"391",2013,"CARGO"
"392",2013,"TANKER"
"393",2013,"TANKER"
"394",2013,"TANKER"
"395",2012,"CONTAINER SHIP"
"396",2012,"TANKER"
"397",2012,"BULK CARRIER"
"398",2012,"CONTAINER SHIP"
"399",2012,"CONTAINER SHIP"
"400",2012,"BULK CARRIER"
"401",2012,"CONTAINER SHIP"
"402",2012,"CONTAINER SHIP"
"403",2012,"BULK CARRIER"
"404",2012,"CONTAINER SHIP"
"405",2011,"CONTAINER SHIP"
"406",2011,"TANKER"
"407",2011,"CONTAINER SHIP"
"408",2011,"BULK CARRIER"
"409",2011,"CONTAINER SHIP"
"410",2011,"TANKER"
"411",2011,"CONTAINER SHIP"
"412",2011,"CONTAINER SHIP"
"413",2011,"TRAWLER"
"414",2011,"Other"
"415",2010,"Other"
"416",2010,"BULK CARRIER"
"417",2010,"CARGO"
"418",2010,"CONTAINER SHIP"
"419",2010,"CARGO"
"420",2010,"TANKER"
"421",2010,"BULK CARRIER"
"422",2010,"TANKER"
"423",2010,"CONTAINER SHIP"
"424",2010,"TANKER"
"425",2010,"TANKER"
"426",2010,"BULK CARRIER"
"427",2010,"BULK CARRIER"
"428",2009,"MERCHANT"
"429",2009,"CONTAINER SHIP"
"430",2009,"BULK CARRIER"
"431",2009,"CONTAINER SHIP"
"432",2009,"TANKER"
"433",2009,"CONTAINER SHIP"
"434",2009,"CONTAINER SHIP"
"435",2009,"BULK CARRIER"
"436",2009,"BULK CARRIER"
"437",2009,"CONTAINER SHIP"
"438",2009,"CONTAINER SHIP"
"439",2009,"CONTAINER SHIP"
"440",2009,"CONTAINER SHIP"
"441",2009,"TANKER"
"442",2009,"CONTAINER SHIP"
"443",2009,"BULK CARRIER"
"444",2009,"BULK CARRIER"
"445",2008,"BULK CARRIER"
"446",2008,"YACHT"
"447",2008,"YACHT"
"448",2008,"CONTAINER SHIP"
"449",2008,"Other"
"450",2008,"CARGO"
"451",2008,"CONTAINER SHIP"
"452",2008,"BULK CARRIER"
"453",2008,"Other"
"454",2007,"MERCHANT"
"455",2007,"MERCHANT"
"456",2007,"MERCHANT"
"457",2007,"MERCHANT"
"458",2007,"MERCHANT"
"459",2007,"MERCHANT"
"460",2006,"MERCHANT"
"461",2006,"MERCHANT"
"462",2006,"YACHT"
"463",2006,"MERCHANT"
"464",2006,"MERCHANT"
"465",2006,"MERCHANT"
"466",2006,"MERCHANT"
"467",2006,"MERCHANT"
"468",2006,"MERCHANT"
"469",2006,"MERCHANT"
"470",2006,"MERCHANT"
"471",2006,"MERCHANT"
"472",2005,"MERCHANT"
"473",2005,"MERCHANT"
"474",2005,"MERCHANT"
"475",2005,"MERCHANT"
"476",2005,"MERCHANT"
"477",2005,"MERCHANT"
"478",2005,"MERCHANT"
"479",2005,"MERCHANT"
"480",2005,"MERCHANT"
"481",2004,"MERCHANT"
"482",2004,"MERCHANT"
"483",2004,"MERCHANT"
"484",2004,"MERCHANT"
"485",2004,"MERCHANT"
"486",2004,"MERCHANT"
"487",2004,"SS/USS"
"488",2004,"MERCHANT"
"489",2003,"MERCHANT"
"490",2003,"MERCHANT"
"491",2003,"MERCHANT"
"492",2003,"MERCHANT"
"493",2003,"MERCHANT"
"494",2003,"MERCHANT"
"495",2003,"MERCHANT"
"496",2003,"MERCHANT"
"497",2003,"MERCHANT"
"498",2003,"MERCHANT"
"499",2003,"MERCHANT"
"500",2003,"MERCHANT"
"501",2003,"MERCHANT"
"502",2002,"MERCHANT"
"503",2002,"MERCHANT"
"504",2002,"MERCHANT"
"505",2002,"MERCHANT"
"506",2002,"MERCHANT"
"507",2002,"MERCHANT"
"508",2002,"MERCHANT"
"509",2002,"MERCHANT"
"510",2002,"MERCHANT"
"511",2002,"MERCHANT"
"512",2002,"MERCHANT"
"513",2002,"MERCHANT"
"514",2002,"MERCHANT"
"515",2002,"MERCHANT"
"516",2002,"MERCHANT"
"517",2002,"MERCHANT"
"518",2002,"MERCHANT"
"519",2002,"MERCHANT"
"520",2002,"MERCHANT"
"521",2002,"MERCHANT"
"522",2002,"MERCHANT"
"523",2001,"MERCHANT"
"524",2001,"MERCHANT"
"525",2001,"Other"
"526",2001,"MERCHANT"
"527",2001,"MERCHANT"
"528",2001,"Other"
"529",2000,"Other"
"530",2000,"Other"
"531",2000,"MERCHANT"
"532",2000,"Other"
"533",2000,"MERCHANT"
"534",2000,"MERCHANT"
"535",2000,"SS/USS"
"536",2000,"Other"
"537",2000,"MERCHANT"
"538",2000,"Other"
"539",2000,"MERCHANT"
"540",2000,"MERCHANT"
"541",2000,"MERCHANT"
"542",2000,"MERCHANT"
"543",2000,"MERCHANT"
"544",2000,"Other"
"545",1999,"SS/USS"
"546",1999,"MERCHANT"
"547",1999,"Other"
"548",1999,"Other"
"549",1998,"Other"
"550",1998,"Other"
"551",1998,"FISHING"
"552",1998,"Other"
"553",1998,"Other"
"554",1998,"Other"
"555",1997,"MERCHANT"
"556",1997,"MERCHANT"
"557",1997,"MERCHANT"
"558",1996,"MERCHANT"
"559",1996,"MERCHANT"
"560",1995,"MERCHANT"
"561",1994,"Other"
"562",1994,"MERCHANT"
"563",1994,"Other"
"564",1990,"SS/USS"
"565",1989,"SS/USS"
"566",1988,"Other"
"567",1988,"SS/USS"
"568",1988,"SS/USS"
"569",1988,"SS/USS"
"570",1988,"SS/USS"
"571",1988,"SS/USS"
"572",1981,"MERCHANT"
